View,ID,Name,Group Name,Common Name,Order,Notes,Transfer to ID,ID Key,Databased,Traditional,Modern,Active,
360,360,ALTINGIACEAE,Dicots,null,SAXIFRAGALES,null,null,null,TRUE,null,null,TRUE,
10,10,AMARANTHACEAE,Dicots,null,CARYOPHYLLALES,null,null,"1. Tepals usually scarious or chartaceous, occasionally indurate or membranaceous; filaments basally connate (amaranths) [2]
1. Tepals membranaceous to fleshy; filaments free (chenopods) [10]
2. Leaves alternate [3]
2. Leaves mostly or all opposite [4]
3. Flowers unisexual; fruit with 1 seed [G#87](Amaranthus)
3. Flowers bisexual; fruit with 2 or more seeds [G#275](Celosia)
4. Inflorescences terminal panicles; flowers unisexual [G#650](Iresine)
4. Inflorescences terminal or axillary glomerules, heads, or spiciform; flowers bisexual [5]
5. Tips of fruiting perianth of sterile flowers uncinate, burr-like [S#4897](Cyathula prostrata)
5. Tips of fruiting perianth not uncinate (barbed hairs present in a few species) [6]
6. Inflorescence bracteoles with a spinose midrib and mature fruits often retrorse on the rachis [G#39](Achyranthes)
6. Inflorescence bracteoles not spinose (occasionally stiffened, tepals spinose in a few species) and mature fruits typically spreading to appressed-antrorse [7]
7. Inflorescences mostly compound, interrupted spikes, peduncles typically 10-50 cm long (occasionally shorter or subtended by a reduce leaf); tepals connate into indurate tubes with lateral crests or spines, lanate [S#2596](Froelichia floridana)
7. Inflorescences simple spikes or few-branched panicles, flowers progressively farther apart below, peduncles 0-13 cm long ; tepals basally connate into indurate tubes, without ornamentation, ± glabrous [8]
8. Inflorescence not immediately subtended by 2 leaves, mostly axillary and sometimes terminal [G#84](Alternanthera)
8. Inflorescence usually subtended by 2 leaves, mostly terminal and sometimes axillary [9]
9. Stem and leaves glabrous; leaf blade succulent [S#3680](Blutaparon vermiculare)
9. Stem and leaves pilose; leaf blade not succulent [S#1278](Gomphrena serrata)
10. Stems succulent; leaves opposite, scalelike; of saline habitats [G#1079](Salicornia)
10. Stems not succulent (sometimes thickened and green); leaves alternate, with a sizable expanded blade, not scalelike; of freshwater or saline habitats [11]
11. Leaves and bracts spinose at the tip [S#1704](Salsola kali subsp. pontica)
11. Leaves and bracts not spinose, sometimes mucronate at the tip [12]
12. Leaves linear, usually fleshy [S#3287](Suaeda linearis)
12. Leaves not linear, not fleshy or only slightly so [13]
13. Flowers unisexual (rarely bisexual); pistillate flowers usually lacking perianth, at least some flowers enclosed by 2 accrescent, connate, dentate, or tuberculate bracts in fruit [G#152](Atriplex)
13. Flowers bisexual (rarely unisexual); perianth present, not enclosed by paired bracts in fruit  [14]
14. Stems and leaves glandular [G#1505](Dysphania)
14. Stem and leaves eglandular (sometimes farinose) [15]
15. Tepals 3-4 [S#1974](Oxybasis glauca)
15. Tepals 5 [16]
16. Young stems and leaves with the vesicular trichomes (farinose) slightly yellowish or brownish and fully collapsed when dry, fresh leaves generally green with a pungent odor; tepal midrib pronounced [S#1413](Chenopodiastrum murale)
16. Young stems and leaves with the vesicular trichomes (farinose) white and cup-shaped when dry and persistent, fresh leaves generally grayish with a weak or noxious odor; tepal midrib weak [G#299](Chenopodium)
",TRUE,null,null,TRUE,
11,11,AMARYLLIDACEAE,Monocots,null,ASPARAGALES,null,null,"1. Leaves absent at flowering; tepals linear, pink to red; filaments pink to red, subequal and very similar to tepals; fruits red to orange and berry-like; cultivated only [F#11](Scadoxus)
1. Leaves present or absent at flowering; tepals linear-lanceolate to ovate, white, pink, yellow, purple, to red; filaments not at all similar to tepals; fruit not berry-like; native, naturalized, or cultivated [2]
2. Flower a conspiucous corona internal to the tepals [3]
2. Flower without a corona, or corona minute [4]
3. Corona spreading or rotate, white; filaments adnate to the corona [G#625](Hymenocallis)
3. Corona tubular, yellow or white; filaments not adnate to the corona [G#825](Narcissus)
4. Inflorescence with 1(-4) flowers [5]
4. Inflorescence with (1)2-100 flowers [6]
5. Scape solid; flowers pendulous; perianth 1-2.5 cm long  [S#5007](Galanthus nivalis)
5. Scape hollow; flowers declinate to suberect; perianth 2-16 cm long [G#1314](Zephyranthes)
6. Scape hollow [7]
6. Scape solid [8]
7. Flowers declinate to erect, with a minute corona; tepals white, orange, pink, to red, lacking a green spot [F#11](Hippeastrum)
7. Flowers pendulous, lacking a corona; tepals white with a green spot near the tip [S#1993](Leucojum aestivum)
8. Ovary superior; tepals bluish; seeds not fleshy (Agapanthaceae) [F#11](Agapanthus)
8. Ovary inferior; tepals white, orange, pink, to red; seed fleshy [8]
9. Leaves present at flowering; flowers actinomorphic to subtly zygomorphic; tepals white to pink or reddish; stamens shorter than to subequal to tepals [G#368](Crinum)
9. Leaves absent at flowering; flowers strongly zygomorphic; tepals pink, orange, to red; stamens longer than the tepals [G#839](Lycoris)
",TRUE,null,null,TRUE,
421,421,AMBLYSTEGIACEAE,Bryophytes,null,HYPNALES,null,null,null,FALSE,null,null,TRUE,
12,12,ANACARDIACEAE,Dicots,null,SAPINDALES,null,null,"1. Leaves simple [s#1477](Mangifera indica)
1. Leaves compound [2]
2. Leaves all trifoliolate [3]
2. Leaves 3- to 25-foliolate, usually some leaves not trifoliolate [4]
3. Leaflets regularly crenate above the base; fruit red and glandular-pubescent [s#3381](Rhus aromatica)
3. Leaflets usually entire, lobate, or with irregular and few teeth; fruit white to greenish white and glabrate [g#1234](Toxicodendron)
4. Leaflets 3-7 and petiolules mostly 1-2 cm long [s#581](Metopium toxiferum)
4. Leaflets 3-25 and petiolules 1 cm long or less [5]
5. Fruit 1.5-3.5 cm long [6]
5. Fruit 0.2-0.7 cm long [7]
6. Leaflets entire, 2.5-30 cm long; petiolule 0.5-1 cm long [s#240](Sorindeia madagascariensis)
6. Leaflets crenate to serrulate near the tip, 2.5-6 cm long; petiolule 0-0.4 cm long [S#1542](Spondias purpurea)
7. Leaflets mostly 9-25; fruit glandular-pubescent [G#1049](Rhus)
7. Leaflets mostly 3-11; fruit glabrous [8]
8. Petioles 2-4 cm long; rachis sometimes winged; leaflets acute to rounded-obtuse at the tip, the margin sometimes serrate; fruit red [S#52](Schinus terebinthifolia)
8. Petioles 2.5-11 cm long; rachis not winged; leaflets acute to acuminate at the tip, the margin entire; fruit white to greenish white [S#3801](Toxicodendron vernix)",TRUE,null,null,TRUE,
469,469,ANEURACEAE,Bryophytes,null,METZGERIALES,null,null,null,FALSE,null,null,TRUE,
14,14,ANNONACEAE,Dicots,null,MAGNOLIALES,null,null,"1. Petiole (5-)7-18 mm long, distinct; carpels 20+, coalescent into an aggregate syncarp [G#108](Annona)
1. Petiole 0-7(-10) mm long, sometimes indistinct; carpels 2-18, free, the fruit a simple berry [2]
2. Leaf base acute to attenuate; petals 15-80 mm long; fruit oblong, 30-100 mm long, yellow-green [G#145](Asimina)
2. Leaf base rounded-truncate to acute; petals 3-6 mm long; fruit subglobose, 4-5 mm long, purple [G#1418](Polyalthia)
",TRUE,null,null,TRUE,
422,422,ANOMODONTACEAE,Bryophytes,null,HYPNALES,null,null,null,FALSE,null,null,TRUE,
404,404,ANTHERICACEAE,Monocots,null,ASPARAGALES,null,6,null,FALSE,null,null,FALSE,
470,470,ANTHOCEROTACEAE,Bryophytes,null,ANTHOCEROTALES,null,null,"1. Sporophytes horizontal on the thallus, less than 5 mm long, enclosed in involucre or scarcely exserted [S#4844](Notothylas orbicularis)
1. Sporophytes erect, more than 5 mm long, exserted from involucre [2]
2. Thallus smooth and solid, non-cavernous (absence of internal schizogenous cavities); spores yellow to yellowish brown  [S#4842](Phaeoceros carolinianus)
2. Thallus with internal schizogenous horizontal mucilage-containing cavities; spores dark brown, brownish black, gray-black, to black (Anthocerotaceae) [3]
3. Spores spheroidal, with reduced trilete marks, the proximal and distal connate-cristate surfaces indistinct [S#4843](Anthoceros adscendens)
3. Spores tetrahedral, with a conspicuous trilete mark separating the triangular areas, well delimited at the equatorial region from the distal surface, often by a border free of ornamentations, ornamentation spinose, punctate, baculate, jagged, or lamellate [G#1641](Anthoceros)
",FALSE,null,null,TRUE,
15,15,APIACEAE,Dicots,null,APIALES,null,null,"1. Flowers in dense involucrate heads [G#491](Eryngium)
1. Flowers in simple or compound umbels [2]
2. Leaves all simple [F#15](Key A)
2. Leaves, at least some, compound or deeply dissected and nearly compound [3]
3. Fruit echinate, tuberculate, or hispid [F#15](Key B)
3. Fruit ribbed, winged, or smooth [F#15](Key C)
1. (Key A) Leaves septate, in shape linear, oblong, or terete [2]
1. Leaves not septate, in shape, cordate, suborbicular, to reniform [3]
2. Stoloniferous, creeping herb; leaves flattened [G#699](Lilaeopsis)
2. Erect herb; leaves terete [G#1483](Tiedemannia)
3. Leaves sessile, distal ones perfoliate [G#219](Bupleurum)
3. Leave petiolate, not perfoliate [4]
4. Decumbent, only sparingly rooting at nodes; leaf blade usually conspicuously lobed [G#198](Bowlesia)
4. Stoloniferous and rooting at nearly all nodes; leaf blade not lobed [G#279](Centella)

1. (Key B) Leaves palmately compound or dissected [G#1088](Sanicula)
1. Leaves pinnately compound or dissected [2]
2. Ovary and fruit 5-10 times longer than wide [S#1827](Scandix pectenveneris)
2. Ovary and fruit 1-2 times longer than wide [3]
3. Fruit tuberculate or with hooked bristles [G#1154](Spermolepis)
3. Fruit hispid or bristly, not hooked, sometimes curved or barbed [4]
4. Fruit winged, hispid [G#105](Angelica)
4. Fruit not winged, bristly [5]
5. Involucre of several trifid to pinnatifid bracts [G#402](Daucus)
5. Involucre absent or of 1-2 linear bracts [S#4288](Torilis arvensis)

1. (Key C) Fruit 3-5 times longer than wide [2]
1. Fruit 1-2 times longer than wide [4]
2. Leaves 3-foliolate [S#970](Cryptotaenia canadensis)
2. Leaves 2- to 3-pinnately compound [3]
3. Ultimate leaf blade segments oblong-lanceolate, 1.2-4 mm wide; pedicel 1.5-8 mm long; calyx unapparent at magnification; lacking corky ribs [G#289](Chaerophyllum)
3. Ultimate leaf blade segments linear-lanceolate to filiform, 0.3-0.7 mm wide; pedicel 0-1.3 mm long; calyx evident at magnification; lighter-colored secondary ribs corky [S#2152](Trepocarpus aethusae)
4. Involucel bracts present, conspicuous (subtending the cluster of pedicels) [5]
4. Involucel bracts absent or scale-like, occasionally with a  [8]
5. Fruit with prominently winged lateral ribs, the other ribs low and blunt [G#878](Oxypolis)
5. Fruit ribs unwinged or the wings subequal [6]
6. Fruit ribs winged [S#3170](Sium suave)
6. Fruit ribs unwinged [7]
7. Fruit ribs subequal in width [G#92](Ammi)
7. Fruit lateral ribs much wider than dorsal ones [S#803](Ptilimnium capillaceum)
8. Leaf blade segments entire [9]
8. Leaf blade segments toothed [11]
9. Inflorescence a sessile or subsessile fascicle of 1-3 simple umbels [S#1911](Cyclospermum leptophyllum)
9. Inflorescence pedunculate, usually of 5-60 simple umbels [10]
10. Fruit dorsally flattened, lateral ribs winged; dill [S#4250](Anethum graveolens)
10. Fruit subterete, lateral ribs not winged; fennel [S#1767](Foeniculum vulgare)
11. Inflorescence a sessile or subsessile fascicle of 1-3 simple umbels; celery [S#1396](Apium graveolens)
11. Inflorescence pedunculate, usually of 5-60 simple umbels [12]
12. Corolla yellow, greenish yellow, or purple [13] 
12. Corolla white or greenish white [15]
13. Central flower or fruit of umbel sessile or subsessile [G#1319](Zizia)
13. Central flower or fruit of umbel pedicellate [14]
14. Sepals absent or obsolete under magnification; parsley [S#404](Petroselinum crispum)
14. Sepals evident under magnification [G#1214](Thaspium)
15. Fruit subglobose; coriander, cilantro [S#1772](Coriandrum sativum)
15. Fruit compressed or flattened [16]
16. Fruit ribs winged [S#4257](Ligusticum canadense)
16. Fruit ribs rounded [17]
17. Plant delicate, to 1 m tall [G#105](Angelica)
17. Plant robust, >1 m tall [G#311](Cicuta)
",TRUE,null,null,TRUE,
16,16,APOCYNACEAE,Dicots,null,GENTIANALES,null,null,"1. Flower without a corona, without a gynostegium, stamens distinct; pollen free, sometimes in tetrads; fruits follicles, capsules, drupes, or berries [F#16](Apocynoideae Periplocoideae  Rauvolfioideae)
1. Flower with a corona of 5 hoods each with an appendage-like horn and with the 5 anthers fused to the stigma as a column-like gynostegium; pollen massed into rigid pollinia; fruits follicles [F#16](Asclepiadoideae)

1. Leaves alternate, pseudowhorled, or rarely subopposite [F#16](Key A)
1. Leaves opposite or whorled [2]
2. Leaves whorled, 3 or more leaves at least at some nodes [F#16](Key B)
2. Leaves opposite, rarely whorled [3]
3. Erect to decumbent stiff herbs, shrubs, or trees [F#16](Key C)
3. Twining, scrambling, or clambering vines, or weak trailing herbs [4]
4. Flower to 100 mm long, without a corona, without a gynostegium, stamens distinct; pollen free, sometimes in tetrads; fruits follicles [F#16](Key D)
4. Flower to 13 mm wide or long, with a corona of 5 hoods each with an appendage-like horn and with the 5 anthers fused to the stigma as a column-like gynostegium; pollen massed into rigid pollinia; fruits follicles, capsules, drupes, or berries [F#16](Key E)

1. (Key A) Herbs [2]
1. Shrubs to trees [3]
2. Inflorescence racemose; flower without a corona, without a gynostegium; seed lacking coma (tuft of hairs) [G#98](Amsonia)
2. Inflorescence umbelliform; flower with a corona of 5 hoods each with an appendage-like horn and with the 5 anthers fused to the stigma as a column-like gynostegium; seed with a coma (conspicuous tuft of hairs) [G#144](Asclepias)
3. Stems stout, 5-20 mm wide near the apex; leaves usually clustered near the stem apex [G#968](Plumeria)
3. Stems slender to moderately thick, 1-6 mm wide near the apex; leaves usually scattered along the distal portion of the stem [4]
4. Leaf blades linear to linear-oblanceolate, attenuate towards the base, the petiole indistinct, the blade mostly 9-12 cm long; corolla 5-7 cm long [S#1628](Thevetia peruviana)
4. Leaf blades elliptic to obovate, acute to rounded at the base with a distinct petiole, the blade 3-7 cm long; corolla 0.6-1 cm long [S#2529](Vallesia antillana)

1. (Key B) Herbs; leaves 0.5-6 mm wide [S#3470](Asclepias verticillata)
1. Woody vines, shrubs, or trees; leaves (some or all) 6-50 mm wide [2]
2. Corolla 4-12 cm long, yellow to red-violet; fruit spiny [G#75](Allamanda)
2. Corolla 0.4-6 cm long; fruit not spiny [3]
3. Fruit a follicle [4]
3. Fruit a drupe [5]
4. Leaf blade secondary veins 1-15 mm apart; corolla lobes 3-7 mm long [G#82](Alstonia)
4. Leaf blade secondary veins 0.5-1.5 mm apart; corolla lobes 15-25 mm long [G#832](Nerium)
5. Leaf coriaceous, the blade secondary veins numerous and dense, straight or nearly so; fruit 3-4 cm long, red [G#850](Ochrosia)
5. Leaf chartaceous, the blade secondary veins several but widely spaced, curvaceous; fruit 0.5-1 cm long, red maturing black [G#1037](Rauvolfia)

1. (Key C) Herbs, or <1.2 m tall if shrubby [2]
1. Shrubs to trees, >1 m tall when mature [5]
2. Flower with a corona of 5 hoods each with an appendage-like horn and with the 5 anthers fused to the stigma as a column-like gynostegium [G#144](Asclepias)
2. Flower without a corona, without a gynostegium [8]
3. Leaf blades 2-10 mm wide; corolla yellow to yellowish white [S#2721](Angadenia berteroi)
3. Leaf blades 10-60 mm wide, at least the larger ones; corolla white to pink to red [9]
4. Mature plants usually 0.8-2.5 m tall; corolla 1-7 mm wide; fruit 12-21 cm long; seed with a coma (conspicuous tuft of hairs) [G#122](Apocynum)
4. Mature plants 0.2-1 m tall; corolla 1.5-3.5 cm wide; fruit 1-3 cm long; seeds without a coma [S#1382](Catharanthus roseus)
5. Leaf blades 6-14 cm wide [G#1499](Calotropis)
5. Leaf blades 0.1-6 cm wide [6]
6. Stems with axillary spines [G#257](Carissa)
6. Stems without spines [12] [G#1195](Tabernaemontana)
 
1. (Key D) Leaf blades <3 cm long, <1 cm wide [S#2721](Angadenia berteroi)
1. Leaf blades (all or some) >3 cm long, >1 cm wide [2]
2. Corolla pale green, yellowish, to yellow (sometimes with red lines) [3]
2. Corolla white, pink, bluish, or purplish [4]
3. Stem and leaves glabrous to densely pubescent; leaves persistent; leaf blade margins often revolute; corolla 3.5-5.5 cm long; fruit 12-18 cm long [G#906](Pentalinon)
3. Stem and leaves glabrous to sparsely pubescent; leaves deciduous; leaf blade margin plane or not revolute; corolla 0.5-1 cm long; fruit 1-2.3 cm long [G#1460](Thyrsanthella)
4. Corolla 0.5-3.5 cm long [5]
4. Corolla 3.5-8 cm long [6]
5. Leaf blade elliptic to obovate; corolla white; fruit 10-15 cm long [G#454](Trachelospermum)
5. Leaf blade elliptic, lanceolate, to ovate; corolla blue, purple, violet, rarely white; fruit 2-6 cm long [G#1387](Vinca)
6. Leaf blade tip obtuse to short-acuminate, without a mucro; pollen shed onto translators; fruit 3-sided, fusiform [G#377](Cryptostegia)
6. Leaf blade tip usually mucronate or apiculate to spinose; translators absent; fruit terete or compressed [7]
7. Leaf blades elliptic-ovate to orbiculate; calyx lobes 1.5-5 mm long; corolla lobes with a distinct narrow limb at the base and expanded blade at the apex, the limbs not overlapping adjacent limbs or only slightly so, the lobe blade margin often ruffled, undulate, or somewhat irregular [G#455](Echites)
7. Leaf blades elliptic to oblanceolate or oblong, rarely broadly elliptic-obovate; calyx lobes 5-6 mm long; corolla lobes lacking a distinct limb, basal part of the lobes overlapping adjacent lobes, the lobe margin mostly entire [G#1043](Rhabdadenia)

1. (Key E) Leaves 1-3 mm wide [2]
1. Leaves 4-100 mm wide, at least the larger ones [4]
2. Leaf blade gradually narrowed to the base without a distinct petiole, the base about as thick as the stem (stems usually with leaves); peduncle 1-4 cm long [S#3168](Pattalias palustre)
2. Leaf blade usually distinct from the petiole, the petiole distinctly thinner than the stem (stems sometimes nearly leafless); peduncle 0-1 cm long [3]
3. Stems leafy; leaf blade narrowly lanceolate, gradually narrowed towards the apex; peduncle 2.5-10 mm long; corolla lobes pubescent on the inner surface; corona lobes narrow [S#2520](Metastelma blodgettii)
3. Stems leafy or nearly leafless; leaf blade linear, rounded to abruptly acuminate or apiculate at the apex; peduncle 0-3 mm long; corolla lobes glabrous on the inner surface; corona lobes broad [S#2390](Orthosia scoparia)
4. Plant with long eglandular and minute glandular trichomes [5]
4. Plant with eglandular trichomes [6]
5. Interpetiolar colleters absent; fruit angled, smooth, not muricate [G#1453](Gonolobus)
5. Interpetiolar colleters present; fruit muricate, not angled [G#758](Matelea)
6. Distal leaf blades 3-7 cm wide, conspicuously cordate to lobate or hastate at the base [7] 
6. Distal leaf blades 1.5-4(5.5) cm wide, truncate, rounded, to scarcely subcordate or rarely cordate at the base [8]
7. Interpetiolar colleters absent; basal leaf blades cordate at the base, distal ones deltate or hastate at the base [S#24](Araujia odorata)
7. Interpetiolar colleters present; leaf blade bases cordate [S#3741](Cynanchum laeve)
8. Stems appearing leafy, with numerous leaves; leaf blades 1-2 cm long [S#575](Metastelma bahamense)
8. Leaf blades 2-10 cm long [8]
9. Stems often with few leaves or with long internodes exceeding the leaves; wet habitats [S#913](Funastrum clausum)
9. Stems leafy, the internodes generally shorter to slightly exceeding the leaves; upland habitats [S#5000](Leptadenia lanceolata)
",TRUE,null,null,TRUE,
18,18,AQUIFOLIACEAE,Dicots,null,AQUIFOLIALES,null,null,null,TRUE,null,null,TRUE,
